Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
SF,Paul Pierce,3000,OKC@LAC 10:30PM ET,6.917,LAC,1,0,4.292,3.500,6.938,0.000,-9000.465,3.500,18.000,214.500,-8.000,0.000
SF,Wesley Johnson,3000,OKC@LAC 10:30PM ET,10.444,LAC,1,0,10.071,5.487,11.562,0.000,-9000.465,3.500,18.000,214.500,-8.000,0.000
SF,Kyle Singler,3000,OKC@LAC 10:30PM ET,4.131,OKC,0,0,3.393,1.200,2.500,0.000,-4.465,14.500,18.000,214.500,8.000,3.250
PF,Brandon Bass,3000,OKC@LAC 10:30PM ET,9.279,LAC,1,0,9.893,4.839,8.062,0.000,-0.465,16.000,18.000,214.500,-8.000,19.000
C,Nick Collison,3000,OKC@LAC 10:30PM ET,3.818,OKC,0,0,5.850,0.333,4.312,0.000,-9004.465,7.000,18.000,214.500,8.000,0.000
C,Joffrey Lauvergne,3000,OKC@LAC 10:30PM ET,11.729,OKC,0,0,5.607,6.224,6.062,0.000,-9004.465,7.000,18.000,214.500,8.000,28.250
C,Diamond Stone,3000,OKC@LAC 10:30PM ET,2.813,LAC,1,0,2.812,0.250,2.812,0.000,-9000.465,11.500,18.000,214.500,-8.000,0.000
PG/SG,Leandro Barbosa,3000,Uta@Pho 09:00PM ET,10.545,Pho,1,0,5.821,4.988,6.125,0.000,-9012.133,2.750,18.000,203.500,6.000,11.750
PG,Raul Neto,3000,Uta@Pho 09:00PM ET,5.738,Uta,0,0,7.893,1.159,10.062,0.000,-8.133,26.000,18.000,203.500,-6.000,5.250
PG,Dante Exum,3000,Uta@Pho 09:00PM ET,12.097,Uta,0,0,11.607,6.308,8.312,0.000,-69.914,26.000,18.000,203.500,-6.000,0.000
PG,Tyler Ulis,3000,Uta@Pho 09:00PM ET,7.240,Pho,1,0,5.607,3.632,4.562,0.000,-9012.133,4.500,18.000,203.500,6.000,1.250
SF/PF,Dragan Bender,3000,Uta@Pho 09:00PM ET,8.061,Pho,1,0,8.643,3.583,9.688,0.000,-9012.133,1.000,18.000,203.500,6.000,14.000
PF/C,Boris Diaw,3000,Uta@Pho 09:00PM ET,10.333,Uta,0,0,8.536,5.619,7.688,0.000,-8.133,21.000,18.000,203.500,-6.000,24.750
PF,Jared Dudley,3000,Uta@Pho 09:00PM ET,16.858,Pho,1,0,16.821,11.000,7.750,0.000,-9091.860,1.000,18.000,203.500,6.000,0.000
PF,Joel Bolomboy,3000,Uta@Pho 09:00PM ET,2.833,Uta,0,0,3.550,1.050,2.812,0.000,-8.133,19.500,18.000,203.500,-6.000,0.000
C,Jeff Withey,3000,Uta@Pho 09:00PM ET,7.615,Uta,0,0,9.714,3.538,4.250,0.000,-61.749,22.500,18.000,203.500,-6.000,0.000
C,Alan Williams,3000,Uta@Pho 09:00PM ET,9.768,Pho,1,0,3.000,3.659,4.375,0.000,-9012.133,3.000,18.000,203.500,6.000,2.000
