Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds
PG,Mike Conley,7500,Mem@Was 07:00PM ET,36.605,Mem,0,0,40.321,28.162,41.750,4.500,45.000,31.250,0.212,206.500,2.000
SG/SF,Nicolas Batum,7400,Por@Cha 07:00PM ET,36.224,Cha,1,0,43.714,27.882,32.500,13.000,44.400,38.250,0.207,217.500,-5.000
PG/SG,C.J. McCollum,7300,Por@Cha 07:00PM ET,37.238,Por,0,0,41.464,29.140,35.188,20.000,43.800,31.000,0.280,217.500,5.000
PG,Jrue Holiday,7300,Orl@NO 08:00PM ET,31.620,NO,1,0,36.107,25.900,30.000,16.000,43.800,38.000,0.068,209.500,-5.000
C,Marc Gasol,7200,Mem@Was 07:00PM ET,38.220,Mem,0,0,34.286,29.188,39.875,11.000,43.200,42.500,0.337,206.500,2.000
SF/PF,Jabari Parker,7100,Mil@Hou 08:00PM ET,34.644,Mil,0,0,37.286,25.921,33.312,17.500,42.600,27.750,0.207,226.500,6.500
PF/C,Enes Kanter,7000,OKC@GS 10:30PM ET,26.227,OKC,0,0,35.714,17.125,35.250,15.000,42.000,35.250,0.087,230.000,13.500
PG,Reggie Jackson,7000,Atl@Det 08:00PM ET,28.409,Det,1,0,34.679,21.292,24.688,23.500,42.000,37.750,0.098,202.000,2.000
C,Dwight Howard,7000,Atl@Det 08:00PM ET,36.639,Atl,0,0,36.286,25.000,29.188,5.000,42.000,15.750,0.310,202.000,-2.000
SF,Rudy Gay,7000,Ind@Sac 10:30PM ET,35.310,Sac,1,0,36.286,27.797,39.438,11.500,42.000,32.000,0.245,214.500,-2.000
C,Myles Turner,7000,Ind@Sac 10:30PM ET,32.846,Ind,0,0,29.286,24.513,28.938,13.500,42.000,24.250,0.186,214.500,2.000
C,Al Horford,6900,NY@Bos 07:30PM ET,36.331,Bos,1,0,37.214,29.047,34.750,25.000,41.400,33.250,0.286,221.000,-9.500
PF,Kristaps Porzingis,6800,NY@Bos 07:30PM ET,36.847,NY,0,0,34.179,27.819,27.625,26.000,40.800,18.500,0.367,221.000,9.500
PF/C,Terrence Jones,6700,Orl@NO 08:00PM ET,23.244,NO,1,0,23.536,15.159,31.812,16.500,40.200,22.250,0.063,209.500,-5.000
C,Nikola Vucevic,6600,Orl@NO 08:00PM ET,34.444,Orl,0,0,38.214,26.163,36.125,20.500,39.600,26.500,0.312,209.500,5.000
SG,Klay Thompson,6500,OKC@GS 10:30PM ET,32.156,GS,1,0,33.750,25.250,31.562,10.500,39.000,28.500,0.236,230.000,-13.500
SF/PF,Tobias Harris,6400,Atl@Det 08:00PM ET,28.395,Det,1,0,33.107,20.438,28.625,20.500,38.400,28.750,0.130,202.000,2.000
SG,Bradley Beal,6400,Mem@Was 07:00PM ET,34.403,Was,1,0,30.107,25.722,35.188,3.000,38.400,20.250,0.329,206.500,-2.000
PG,Derrick Rose,6300,NY@Bos 07:30PM ET,30.101,NY,0,0,33.821,24.114,36.125,19.000,37.800,57.500,0.248,221.000,9.500
PG,Elfrid Payton,6200,Orl@NO 08:00PM ET,28.686,Orl,0,0,34.286,20.398,40.188,27.000,37.200,22.500,0.248,209.500,5.000
SF/PF,Markieff Morris,6100,Mem@Was 07:00PM ET,26.891,Was,1,0,30.714,20.396,38.062,3.500,36.600,40.000,0.182,206.500,-2.000
PG,Dennis Schroder,6000,Atl@Det 08:00PM ET,31.598,Atl,0,0,31.464,23.050,20.875,23.500,36.000,21.000,0.320,202.000,-2.000
PF/C,Zach Randolph,6000,Mem@Was 07:00PM ET,28.042,Mem,0,0,28.464,22.587,30.125,16.750,36.000,17.250,0.155,206.500,2.000
SG,Avery Bradley,5900,NY@Bos 07:30PM ET,33.458,Bos,1,0,29.429,26.044,29.125,26.500,35.400,16.750,0.416,221.000,-9.500
C,Jonas Valanciunas,5900,Tor@Phi 07:00PM ET,27.622,Tor,0,0,21.821,20.571,30.250,26.500,35.400,33.000,0.216,214.500,-5.000
SG/SF,Tyreke Evans,5900,Orl@NO 08:00PM ET,21.089,NO,1,0,20.571,13.393,34.875,17.750,35.400,38.000,0.129,209.500,-5.000
SF/PF,Otto Porter,5800,Mem@Was 07:00PM ET,29.563,Was,1,0,26.571,21.227,30.062,3.500,34.800,38.750,0.340,206.500,-2.000
PF/C,Serge Ibaka,5800,Orl@NO 08:00PM ET,30.500,Orl,0,0,29.964,23.196,27.688,22.250,34.800,33.250,0.333,209.500,5.000
C,Marcin Gortat,5700,Mem@Was 07:00PM ET,31.425,Was,1,0,30.857,25.304,22.625,1.000,34.200,22.250,0.358,206.500,-2.000
SG,Eric Gordon,5700,Mil@Hou 08:00PM ET,28.381,Hou,1,0,29.893,22.095,23.438,15.000,34.200,33.000,0.245,226.500,-6.500
C,Greg Monroe,5700,Mil@Hou 08:00PM ET,25.955,Mil,0,0,25.393,16.500,20.125,23.000,34.200,10.000,0.217,226.500,6.500
SF,Jae Crowder,5600,NY@Bos 07:30PM ET,26.129,Bos,1,0,26.964,19.357,32.312,11.500,33.600,29.750,0.153,221.000,-9.500
C,Mason Plumlee,5600,Por@Cha 07:00PM ET,30.331,Por,0,0,33.786,23.250,26.312,26.500,33.600,27.500,0.367,217.500,5.000
PG/SG,Malcolm Brogdon,5600,Mil@Hou 08:00PM ET,20.725,Mil,0,0,30.107,13.190,26.625,19.250,33.600,30.000,0.102,226.500,6.500
PF,Thaddeus Young,5600,Ind@Sac 10:30PM ET,25.738,Ind,0,0,25.143,19.710,28.875,25.000,33.600,24.000,0.200,214.500,2.000
SG,Victor Oladipo,5500,OKC@GS 10:30PM ET,28.221,OKC,0,0,28.786,20.500,28.875,12.500,33.000,37.750,0.327,230.000,13.500
SF,Marcus Morris,5500,Atl@Det 08:00PM ET,24.000,Det,1,0,26.929,17.136,32.438,24.000,33.000,39.000,0.168,202.000,2.000
SF,Trevor Ariza,5500,Mil@Hou 08:00PM ET,28.165,Hou,1,0,29.500,21.620,28.312,29.000,33.000,20.500,0.261,226.500,-6.500
SF,Robert Covington,5500,Tor@Phi 07:00PM ET,24.819,Phi,1,0,27.964,16.618,22.750,16.000,33.000,23.250,0.209,214.500,5.000
SG,Kentavious Caldwell-Pope,5400,Atl@Det 08:00PM ET,26.650,Det,1,0,27.036,16.434,23.562,23.000,32.400,1.500,0.309,202.000,2.000
PG,Patrick Beverley,5400,Mil@Hou 08:00PM ET,27.700,Hou,1,0,28.393,21.633,32.438,2.000,32.400,40.250,0.302,226.500,-6.500
PF,Ersan Ilyasova,5400,Tor@Phi 07:00PM ET,26.647,Phi,1,0,27.321,19.500,25.938,21.000,32.400,28.750,0.273,214.500,5.000
SF/PF,Aaron Gordon,5400,Orl@NO 08:00PM ET,22.395,Orl,0,0,26.714,15.354,24.688,19.000,32.400,32.000,0.158,209.500,5.000
C,Steven Adams,5300,OKC@GS 10:30PM ET,26.935,OKC,0,0,28.857,20.062,22.500,22.000,31.800,13.000,0.273,230.000,13.500
PG/SG,Darren Collison,5300,Ind@Sac 10:30PM ET,23.039,Sac,1,0,24.929,17.054,25.125,21.750,31.800,35.000,0.118,214.500,-2.000
SF/PF,DeMarre Carroll,5300,Tor@Phi 07:00PM ET,19.993,Tor,0,0,16.607,13.188,23.250,16.250,31.800,9.500,0.098,214.500,-5.000
SG/SF,Evan Fournier,5300,Orl@NO 08:00PM ET,27.068,Orl,0,0,28.071,20.125,22.938,17.000,31.800,19.250,0.333,209.500,5.000
C,Cody Zeller,5200,Por@Cha 07:00PM ET,24.206,Cha,1,0,21.821,19.225,27.812,28.000,31.200,19.500,0.166,217.500,-5.000
PG,T.J. McConnell,5200,Tor@Phi 07:00PM ET,18.599,Phi,1,0,25.821,12.716,25.438,8.000,31.200,29.750,0.087,214.500,5.000
C,Joakim Noah,5100,NY@Bos 07:30PM ET,23.132,NY,0,0,25.036,15.557,27.938,18.000,30.600,38.250,0.240,221.000,9.500
SF,Michael Kidd-Gilchrist,5100,Por@Cha 07:00PM ET,23.400,Cha,1,0,26.321,17.193,25.625,21.000,30.600,28.750,0.204,217.500,-5.000
PF,Al-Farouq Aminu,5100,Por@Cha 07:00PM ET,21.548,Por,0,0,24.643,15.929,24.562,9.500,30.600,26.250,0.179,217.500,5.000
PF/C,Montrezl Harrell,5100,Mil@Hou 08:00PM ET,18.471,Hou,1,0,29.536,9.861,26.875,15.000,30.600,37.000,0.151,226.500,-6.500
PG/SG,Tim Hardaway Jr.,5000,Atl@Det 08:00PM ET,19.051,Atl,0,0,22.000,11.214,23.375,15.250,30.000,12.250,0.132,202.000,-2.000
PF,Ryan Anderson,5000,Mil@Hou 08:00PM ET,24.349,Hou,1,0,20.929,17.846,23.375,19.000,30.000,23.750,0.279,226.500,-6.500
C,Nerlens Noel,4900,Tor@Phi 07:00PM ET,16.654,Phi,1,0,13.833,10.062,18.312,9.000,29.400,7.250,0.073,214.500,5.000
SG/SF,Marcus Smart,4800,NY@Bos 07:30PM ET,24.625,Bos,1,0,24.857,19.273,21.625,19.000,28.800,23.250,0.297,221.000,-9.500
SG,Tony Allen,4700,Mem@Was 07:00PM ET,22.542,Mem,0,0,23.679,15.825,21.812,14.000,28.200,19.250,0.261,206.500,2.000
PF,Marvin Williams,4600,Por@Cha 07:00PM ET,21.864,Cha,1,0,21.893,16.111,24.562,30.000,27.600,27.250,0.228,217.500,-5.000
C,Clint Capela,4600,Mil@Hou 08:00PM ET,26.216,Hou,1,0,24.286,18.446,15.438,11.000,27.600,12.750,0.411,226.500,-6.500
PG,Sergio Rodriguez,4600,Tor@Phi 07:00PM ET,22.864,Phi,1,0,18.393,14.319,19.500,8.000,27.600,17.250,0.314,214.500,5.000
PF/C,Kelly Olynyk,4500,NY@Bos 07:30PM ET,19.557,Bos,1,0,21.000,11.847,27.062,23.750,27.000,9.000,0.202,221.000,-9.500
SG,Jeremy Lamb,4500,Por@Cha 07:00PM ET,18.536,Cha,1,0,15.429,8.188,19.812,5.000,27.000,25.750,0.222,217.500,-5.000
SG,Jodie Meeks,4500,Orl@NO 08:00PM ET,16.957,Orl,0,0,21.429,9.188,19.250,20.000,27.000,13.000,0.147,209.500,5.000
SG/SF,Kent Bazemore,4400,Atl@Det 08:00PM ET,21.853,Atl,0,0,18.214,13.395,26.375,6.250,26.400,15.500,0.312,202.000,-2.000
SF,Mindaugas Kuzminskas,4300,NY@Bos 07:30PM ET,10.714,NY,0,0,13.286,5.500,25.062,20.000,25.800,28.000,0.049,221.000,9.500
PF,JaMychal Green,4300,Mem@Was 07:00PM ET,22.756,Mem,0,0,22.571,16.057,23.500,22.500,25.800,37.250,0.377,206.500,2.000
SF/PF,Dario Saric,4300,Tor@Phi 07:00PM ET,20.872,Phi,1,0,17.679,13.066,26.125,18.500,25.800,23.750,0.301,214.500,5.000
C,Jahlil Okafor,4300,Tor@Phi 07:00PM ET,21.050,Phi,1,0,24.643,13.019,21.188,9.000,25.800,15.500,0.292,214.500,5.000
PF,Jon Leuer,4200,Atl@Det 08:00PM ET,22.711,Det,1,0,21.393,15.562,13.875,17.000,25.200,1.500,0.378,202.000,2.000
PF/C,Kyle O'Quinn,4100,NY@Bos 07:30PM ET,18.156,NY,0,0,16.500,9.948,19.312,22.000,24.600,4.750,0.286,221.000,9.500
