Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG,Mo Williams,3000,Chi@Cle 08:00PM ET,0.000,Cle,1,0,0.000,0.000,0.000,0.000,11.500,18.000,,0.000,204.000
PG,Isaiah Canaan,3000,Chi@Cle 08:00PM ET,11.212,Chi,0,0,13.929,6.150,5.125,0.000,23.000,18.000,0.190,4.000,204.000
SG,James Jones,3000,Chi@Cle 08:00PM ET,4.513,Cle,1,0,3.607,1.654,2.750,5.000,14.000,18.000,0.010,0.000,204.000
SG,DeAndre Liggins,3000,Chi@Cle 08:00PM ET,8.770,Cle,1,0,10.393,2.432,9.625,13.250,14.000,18.000,0.084,0.000,204.000
SG,Denzel Valentine,3000,Chi@Cle 08:00PM ET,6.304,Chi,0,1,7.143,2.865,6.875,16.000,28.000,18.000,0.016,4.000,204.000
SF,Mike Dunleavy,3000,Chi@Cle 08:00PM ET,9.293,Cle,1,1,10.071,5.077,11.562,0.750,12.000,18.000,0.089,0.000,204.000
SF,Paul Zipser,3000,Chi@Cle 08:00PM ET,2.750,Chi,0,0,2.150,0.812,2.500,0.750,27.000,18.000,0.003,4.000,204.000
PF,Bobby Portis,3000,Chi@Cle 08:00PM ET,9.141,Chi,0,0,8.036,5.183,5.875,0.000,14.000,18.000,0.099,4.000,204.000
C,Chris Andersen,3000,Chi@Cle 08:00PM ET,7.979,Cle,1,1,8.714,4.607,8.312,11.000,9.500,18.000,0.035,0.000,204.000
C,Cristiano Felicio,3000,Chi@Cle 08:00PM ET,11.500,Chi,0,0,14.857,6.135,19.500,16.250,6.000,18.000,0.178,4.000,204.000
PG,Jason Terry,3000,Mil@NY 07:30PM ET,7.723,Mil,0,0,7.071,3.946,9.188,7.500,14.000,18.000,0.023,0.000,213.000
SG,Sasha Vujacic,3000,Mil@NY 07:30PM ET,5.202,NY,1,0,7.964,0.591,5.688,0.000,16.000,18.000,0.017,3.500,213.000
SG,Khris Middleton,3000,Mil@NY 07:30PM ET,0.000,Mil,0,0,0.000,0.000,0.000,0.000,24.500,18.000,,0.000,213.000
SG,Ron Baker,3000,Mil@NY 07:30PM ET,6.727,NY,1,0,5.050,2.917,8.750,3.500,16.000,18.000,0.043,3.500,213.000
SG,Rashad Vaughn,3000,Mil@NY 07:30PM ET,7.839,Mil,0,0,4.107,1.406,4.125,11.250,24.500,18.000,0.153,0.000,213.000
SF,Steve Novak,3000,Mil@NY 07:30PM ET,1.156,Mil,0,0,1.600,0.000,1.688,2.000,15.000,18.000,0.003,0.000,213.000
SF,Mindaugas Kuzminskas,3000,Mil@NY 07:30PM ET,8.670,NY,1,0,8.750,4.071,9.625,13.250,29.000,18.000,0.063,3.500,213.000
PF,Mirza Teletovic,3000,Mil@NY 07:30PM ET,13.973,Mil,0,0,19.000,8.339,11.750,15.500,20.000,18.000,0.300,0.000,213.000
PF,Maurice Ndour,3000,Mil@NY 07:30PM ET,5.067,NY,1,0,4.357,2.714,5.438,2.000,17.000,18.000,0.002,3.500,213.000
PF,Thon Maker,3000,Mil@NY 07:30PM ET,4.250,Mil,0,0,3.714,1.531,3.250,3.500,20.000,18.000,0.004,0.000,213.000
C,Miles Plumlee,3000,Mil@NY 07:30PM ET,6.489,Mil,0,0,1.607,2.058,3.250,1.500,21.500,18.000,0.044,0.000,213.000
C,Marshall Plumlee,3000,Mil@NY 07:30PM ET,5.000,NY,1,0,1.250,0.625,5.000,0.000,13.000,18.000,0.105,3.500,213.000
PG,Wade Baldwin IV,3000,Mem@LAC 10:30PM ET,9.402,Mem,0,0,5.000,3.327,3.125,6.250,2.000,18.000,0.179,0.000,197.000
SG,Troy Williams,3000,Mem@LAC 10:30PM ET,10.720,Mem,0,0,11.821,2.729,4.188,0.000,6.500,18.000,0.234,0.000,197.000
SF,Paul Pierce,3000,Mem@LAC 10:30PM ET,6.917,LAC,1,0,4.292,3.500,6.938,8.250,5.000,18.000,0.012,1.500,197.000
SF,Alan Anderson,3000,Mem@LAC 10:30PM ET,5.596,LAC,1,0,3.750,2.312,10.125,10.750,5.000,18.000,0.025,1.500,197.000
SF,Wesley Johnson,3000,Mem@LAC 10:30PM ET,10.532,LAC,1,0,12.607,5.353,11.875,10.000,5.000,18.000,0.143,1.500,197.000
PF/C,Jarell Martin,3000,Mem@LAC 10:30PM ET,10.556,Mem,0,0,9.250,4.569,2.750,2.500,11.500,18.000,0.163,0.000,197.000
PF,Brandon Bass,3000,Mem@LAC 10:30PM ET,9.477,LAC,1,0,9.214,5.045,15.250,10.750,2.500,18.000,0.100,1.500,197.000
PF,Brandan Wright,3000,Mem@LAC 10:30PM ET,0.000,Mem,0,1,0.000,0.000,0.000,0.000,9.000,18.000,,0.000,197.000
PF,Brice Johnson,3000,Mem@LAC 10:30PM ET,0.000,LAC,1,1,0.000,0.000,0.000,0.000,2.500,18.000,,1.500,197.000
PF,Deyonta Davis,3000,Mem@LAC 10:30PM ET,5.881,Mem,0,1,4.143,2.062,4.750,11.000,9.000,18.000,0.041,0.000,197.000
C,Diamond Stone,3000,Mem@LAC 10:30PM ET,2.813,LAC,1,0,2.812,0.250,2.812,0.000,1.000,18.000,0.048,1.500,197.000
